FolderPath,PrefabName,InitPos,InitRot,GameObjectName
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-63.704959/4.903001/-1187.782998,0.0/28.803930/0.0,C119BS010001
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-67.220959/2.051999/-1185.122998,0.0/28.803930/0.0,C119BS010002
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-52.755959/2.131000/-1188.454998,0.0/118.977952/0.0,C119BS010003
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-53.566959/2.204999/-1212.619998,0.0/348.936820/0.0,C119BS010004
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-55.289959/4.990998/-1203.137998,0.0/118.977952/0.0,C119BS010005
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-52.367959/2.085000/-1200.241998,0.0/118.977952/0.0,C119BS010006
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-78.624959/4.842000/-1197.311998,0.0/298.990959/0.0,C119BS010007
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-81.142959/2.129001/-1200.535998,0.0/298.990959/0.0,C119BS010008
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-78.777959/2.106000/-1186.158998,0.0/28.803930/0.0,C119BS010009
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-82.162959/2.276000/-1211.475998,0.0/298.990959/0.0,C119BS010010
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-66.976959/1.997001/-1212.779998,0.0/209.020639/0.0,C119BS010011
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-70.648959/4.773000/-1210.438998,0.0/209.020639/0.0,C119BS010012
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-93.705959/2.054000/-1232.425998,0.0/29.007644/0.0,C119BS010013
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-79.519959/2.284000/-1235.257998,0.0/200.242556/0.0,C119BS010014
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-80.412959/2.089999/-1256.102998,0.0/299.048197/0.0,C119BS010015
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-79.884959/2.092000/-1244.410998,0.0/71.163682/0.0,C119BS010016
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-101.920959/2.158000/-1251.579998,0.0/346.847144/0.0,C119BS010017
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-86.022959/1.977000/-1257.055998,0.0/200.242556/0.0,C119BS010018
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-100.578959/2.183000/-1231.659998,0.0/69.217977/0.0,C119BS010019
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-101.900959/2.004001/-1243.562998,0.0/346.847144/0.0,C119BS010020
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-90.317959/4.768998/-1235.020998,0.0/29.007644/0.0,C119BS010021
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-99.458959/4.872998/-1240.076998,0.0/346.847144/0.0,C119BS010022
